App,Review,Sentiment,Rating,Date,Language
UIB Mobile,i have the app in my phone but i also want to have it on my pc...seems like i cant download it on my pc...is that how its meant to be?,Positive,4,2021-05-10 00:45:09,en
UIB Mobile,"Bonjour, je suis conscient que par mesures de sécurité vous avez bloqué la screenshot mais il faut penser à un autre moyen pour faire les preuves de virement, aussi la depuis deux jours j'arrive plus à accéder à mon compte",Negative,1,2021-02-17 23:23:06,fr
UIB Mobile,cet utulisateur n'est pas éligible sur mobile ????????????,Negative,1,2020-09-21 11:11:55,fr
UIB Mobile,Mauvaise appli de mauvaise banque,Negative,1,2020-08-22 16:52:34,fr
UIB Mobile,nothing is working as expected !!!!!,Negative,1,2020-08-17 07:28:08,en
UIB Mobile,Miserable,Negative,1,2020-07-27 13:48:54,en
UIB Mobile,Doesn't work at all ...,Negative,1,2020-07-05 12:20:26,en
UIB Mobile,"J'ai l'impression que quand on passe une reclamation depuis l'application cette reclamation sera envoyée dans l'espace pour joindre une des sondes spatiale Voyager 1 et Voyager 2, j'espère bien que des extraterrestre vont reçevoir ma réclamation et qu'ils vont arriver à la traiter ... 9oulou Amiiiine :D",Negative,3,2020-05-20 19:48:39,fr
UIB Mobile,a very bad app it bugs all the time,Negative,1,2019-08-04 15:59:21,en
UIB Mobile,"Would be lovely if you added the possibility to view the online purchase operations with their correct info, along with the possibility of paying bills and such",Positive,4,2019-07-29 21:56:09,en
UIB Mobile,cool,Positive,5,2019-06-03 21:54:43,en
UIB Mobile,Love it.,Positive,4,2019-05-16 02:41:49,en
UIB Mobile,Bande d'arnaqueurs,Negative,1,2019-05-09 09:30:14,fr
UIB Mobile,ur app keep stopping after update cant even install it,Negative,1,2019-05-06 21:31:33,en
UIB Mobile,"- Virement ( simple ou rapide ) non fonctionnel même après la mise à jour de l application - Liste virement permanent vide (n affiche pas mon virement permanent) - Onglet ""mon budget"" inutile",Negative,1,2019-05-05 22:20:24,fr
UIB Mobile,i loved this app it was so useful but after the last update i couldn't access it anymore i tried everything yet i couldn't. i don't know what tbe problem is,Positive,4,2019-05-05 15:17:41,en
UIB Mobile,"Après la derniere mise à jour, l'appliaction ne démarre plus, j'ai effectué une désinstallation, redémarré mon smartphone, et réinstallé l'application, mais le problème persiste encore.. Je voulais savoir si c'est un bug majeur ou si c'est juste un problème lié à mon appareil?",Negative,1,2019-05-03 19:15:56,fr
UIB Mobile,"Tout le temps 'erreur survenu le client dispose déjà d' un terminal 
transactionnel' lors d'un épargne rapide ou virement",Negative,3,2018-08-10 09:39:17,fr
UIB Mobile,c genial si vous rajouter la recharge de ooredoo via l application ;),Positive,5,2018-07-24 13:47:49,fr
UIB Mobile,"Des notifs incessantes aujourd'hui (Foundation arts et culture by uib) c 
vraiment ennuyeux et décevant. Un fix plz !!!!!",Negative,1,2018-07-07 12:46:52,fr
UIB Mobile,C quoi montant min w montant max eli fil parametres de profil???,Positive,5,2018-04-24 15:37:14,fr
UIB Mobile,This app sucks ass.,Negative,1,2017-08-28 17:55:21,en
UIB Mobile,Good job!,Positive,5,2017-08-06 13:42:45,en
UIB Mobile,Est ce que le code client est le numéro du compte bancaire ?,Negative,1,2017-07-28 19:48:47,fr
UIB Mobile,No rooted mobiles..smart move,Negative,1,2017-07-14 17:50:35,en
UIB Mobile,Ergonomique et riche en fonctionnalité. Facilite la vie pour tous ce qui est opérations courantes.,Positive,5,2017-07-11 14:40:39,fr
UIB Mobile,"J'ai mis une étoile car je n'ai pas de choix en dessous, je trouve cette application médiocre, presque jamais à jour ! vous nous rendez la vie difficile au lieu de l'améliorer faites un peu d'effort on vous paye pour ça !!",Negative,1,2023-12-26 11:43:39,fr
UIB Mobile,"Après l'installation de la dernière mise à jour, on ne peut pas effectuer un virement simple; erreur 4311",Negative,1,2023-12-21 13:45:52,fr
UIB Mobile,nulll,Negative,1,2023-12-20 13:09:23,fr
UIB Mobile,Bon chance pour cette banque,Positive,5,2023-11-21 12:07:41,fr
UIB Mobile,Mauvaise application,Negative,1,2023-11-03 11:59:29,fr
UIB Mobile,"L'application ne répond pas, mauvaise application, toujours la même problème 😠mauvaise application 😬 😡😡😡",Negative,1,2023-10-27 06:25:30,fr
UIB Mobile,La pire application que j'ai eu toute ma vie que du bugggggg,Negative,1,2023-10-27 05:43:00,fr
UIB Mobile,"Je sais pas c'est quoi l'utilité de cette app si lorsque j'ai besoin de l'utiliser je trouve un problème, j'essaye de faire un transfert j'arrive pas il y'a presque un mois, j'ai essayé aujourd'hui aussi c'est la même chose, j'ai pensé si le problème vient de moi donc ma sœur à essayer a ma place et toujours le même problème, erreur lorsque je veux faire un transfert, svp améliorer cette app c'est vraiment frustrant pour vos clients,2 problèmes, 1 de transfert ou2on ne peut même pas ouvrir l'app",Negative,1,2023-10-21 11:16:52,fr
UIB Mobile,"L'application ne permet de savoir la situation exacte de votre demande ou reclamation: non accepter, en cours, carnet Envoyé à votre agence (exemple demande de renouvellement de carnet chèque)",Negative,1,2023-10-19 16:37:27,fr
UIB Mobile,Une application qui n est pas fonctionnelle !ne sert à rien ! Service clientèle pitoyable,Negative,1,2023-10-19 06:44:50,fr
UIB Mobile,problème écran gris au démarrage ça marche pas je pense après la mise à jour,Negative,1,2023-10-18 11:38:42,fr
UIB Mobile,Mauvaise application beaucoup de retard,Negative,1,2023-10-18 04:48:01,fr
UIB Mobile,Good,Positive,5,2023-09-18 11:03:22,fr
UIB Mobile,Exellent,Positive,5,2023-09-12 19:22:51,fr
UIB Mobile,L'application ne marche pas depuis plus que 5 jours,Negative,1,2023-09-05 19:42:48,fr
UIB Mobile,App nulle Ne fonctionne pas la plupart des temps Très lente,Negative,1,2023-08-21 05:51:57,fr
UIB Mobile,C'est bien,Positive,5,2023-08-17 21:44:41,fr
UIB Mobile,Application nuuuullllllll,Negative,1,2023-08-10 11:31:47,fr
UIB Mobile,Je n'arrive pas à se connecter L'application ne fonctionne pas,Negative,1,2023-08-07 10:09:19,fr
UIB Mobile,أسقط بانكا في العالم وخدمات زبالة وتطبيق ولا اتعس منه,Negative,1,2023-08-03 13:00:17,tnar
UIB Mobile,"Une excellente expérience avec une excellente application, bravooooo uib bravoooo",Positive,5,2023-06-17 20:27:09,fr
UIB Mobile,"J'ai pas pu utilisé l'application, elle se bloque sur termes et conditions, je ne pouvais pas ni accepter ni refuser, je les appelait, ils me disent d'envoyer un mail, j'ai envoyé un mail ils me répondent d'appeler le service client. On joue.",Negative,1,2023-06-16 16:45:38,fr
UIB Mobile,Application null,Negative,1,2023-05-31 14:27:54,fr
UIB Mobile,"très mauvaise application ""nul""",Negative,1,2023-05-31 10:48:42,fr
UIB Mobile,Excellente application,Positive,5,2023-05-31 08:36:35,fr
UIB Mobile,"Excellente application, elle satisfait bien aux besoins du client à distance.",Positive,5,2023-05-27 14:28:47,fr
UIB Mobile,Une excellente application,Positive,5,2023-05-27 14:23:46,fr
UIB Mobile,Excellente application,Positive,5,2023-05-27 14:23:33,fr
UIB Mobile,Meilleure application... Toop !!,Positive,5,2023-05-27 14:23:24,fr
UIB Mobile,Excellente application :),Positive,5,2023-05-27 14:23:06,fr
UIB Mobile,Très intéressante,Positive,5,2023-05-27 14:22:32,fr
UIB Mobile,Excellente application,Positive,5,2023-05-27 14:22:27,fr
UIB Mobile,Une très bonne application,Positive,5,2023-05-27 14:15:49,fr
UIB Mobile,"Excellente application,simple et efficace",Positive,5,2023-05-27 14:14:50,fr
UIB Mobile,La meilleure des applications,Positive,5,2023-05-27 14:12:06,fr
UIB Mobile,Excellente application,Positive,5,2023-05-27 12:55:17,fr
UIB Mobile,"Excellente application ,très facile et très pratique",Positive,5,2023-05-27 12:54:52,fr
UIB Mobile,"Parfait, l'application répond a tous mes besoins en terme de gestion de comptes bancaires ✅",Positive,5,2023-05-27 12:54:37,fr
UIB Mobile,Excellent,Positive,5,2023-05-27 12:54:35,fr
UIB Mobile,C'est la meilleure application,Positive,5,2023-05-27 12:53:23,fr
UIB Mobile,Application nulle,Negative,1,2023-05-20 13:48:21,fr
UIB Mobile,Thank you for your extraordianary service .,Positive,5,2023-05-01 11:27:12,fr
UIB Mobile,Parfait,Positive,4,2023-04-08 19:15:24,fr
UIB Mobile,Excellent bank uib,Positive,5,2023-02-01 21:43:30,fr
UIB Mobile,Null,Negative,1,2023-01-20 11:46:09,fr
UIB Mobile,L'application c'est magnifique,Positive,5,2023-01-05 21:57:46,fr
UIB Mobile,Application zéro Banque zéro Service zéro,Negative,1,2022-12-27 10:53:15,fr
UIB Mobile,Toujours inaccessible,Negative,1,2022-12-27 10:25:56,fr
UIB Mobile,Application toujours hors service et surtout quand y'a besoin ... Tres dessus,Negative,1,2022-12-27 10:21:06,fr
UIB Mobile,Toutes les opérations proposées ne sont pas possibles. Impossible faire des virements par téléphone depuis 2 mois. Malgrè les réclamations aucune correction n'a été faite.,Negative,3,2022-12-26 12:59:41,fr
UIB Mobile,Excellente,Positive,4,2022-12-25 20:45:28,fr
UIB Mobile,Parfaite,Positive,5,2022-12-23 07:51:20,fr
UIB Mobile,L'appliation ne fonctionne pas,Negative,2,2022-11-30 12:47:02,fr
UIB Mobile,"Application non développée convenablement très standard Les autres concurrents comme UBCI ont ajouté des options très avancées Par exemple retrait des biens sans carte bancaire, paiement facture Steg soned télépéage 0",Negative,1,2022-11-30 09:42:43,fr
UIB Mobile,أفشل تطبيقة في التاريخ شي ما يخدم حتى باش تعمل تحويل بنكي وتزيد رقم حساب متنجمش,Negative,1,2022-11-28 15:57:43,tnar
UIB Mobile,Mauvaise application,Negative,1,2022-11-21 14:07:50,fr
UIB Mobile,Mauvaise application، très lourde,Negative,1,2022-11-04 16:56:13,fr
UIB Mobile,Bonne application,Positive,5,2022-10-24 08:34:00,fr
UIB Mobile,Excellent,Positive,5,2022-10-21 13:46:54,fr
UIB Mobile,لا أستطيع الدخول لحسابي الخاص بعد محاولات عديدة هناك مشكلة لابدا من حلها عديد التعليقات لها نفس المشاكل ارجو الحل سريعا نتكمن من الدخول والاطلاع علي حسابنا .وسكرا,Negative,1,2022-10-18 10:26:08,ar
UIB Mobile,Bonne application,Positive,5,2022-10-18 08:29:07,fr
UIB Mobile,Problème de connexion,Negative,1,2022-10-12 09:58:39,fr
UIB Mobile,Nul retard,Negative,1,2022-10-11 12:51:07,fr
UIB Mobile,movaise aplication,Negative,1,2022-10-10 14:22:51,fr
UIB Mobile,Mauvais banque,Negative,1,2022-10-10 13:34:01,fr
UIB Mobile,Bien,Positive,5,2022-10-10 09:40:30,fr
UIB Mobile,L application beugue tout le temps MÉDIOCRE,Negative,1,2022-10-10 09:20:30,fr
UIB Mobile,"Une très mauvaise application et inutile, je ne peux pas faire une simple virement vers poste, ni télécharger mon solde telephone..juste consulter mon solde !! vous ne mérites même pas une étoile !",Negative,1,2022-09-12 21:32:41,fr
UIB Mobile,nul,Negative,1,2022-09-11 06:55:00,fr
UIB Mobile,Très satisfait des services proposées par cette application pratique simple à utiliser et qui ne s'arrête pas d'évoluer pour devenir complète. Même quand j'ai déposé une réclamation sur l'application j'ai été contacté après qlq minutes et le prblm a été tt de suite résolu ! Agréablement surpris 👍,Positive,5,2022-09-02 15:31:30,fr
UIB Mobile,"Application ne sert a rien , je n'arrive pas a effectuer un simple virement du compte courant au compte d'epargne ,j'ai reclamé pleusieurs fois et tjr sans réponse ni intervention !!!!!!",Negative,1,2022-08-26 10:10:02,fr
UIB Mobile,Il'y a toujours des erreurs,Negative,3,2022-08-19 08:36:57,fr
UIB Mobile,Dommage que je ne peux plus accéder à mon compte,Negative,1,2022-08-03 10:35:17,fr
UIB Mobile,Bonne application,Positive,5,2022-07-22 11:26:24,fr
UIB Mobile,Excellente,Positive,5,2022-07-09 23:03:39,fr
UIB Mobile,Bien,Positive,5,2022-07-07 12:37:08,fr
UIB Mobile,Bonne application,Positive,5,2022-07-06 08:23:31,fr
UIB Mobile,Bonne application,Positive,5,2022-07-06 07:46:16,fr
UIB Mobile,Application top,Positive,5,2022-06-26 20:49:25,fr
UIB Mobile,The best,Positive,5,2022-06-21 16:05:15,fr
UIB Mobile,Excellente application,Positive,5,2022-06-21 16:00:52,fr
UIB Mobile,Excellente application.,Positive,5,2022-06-19 21:07:21,fr
UIB Mobile,Erreur COM.100 ????,Negative,1,2022-04-23 19:31:26,fr
UIB Mobile,Toujours des difficultés pour se connecter,Positive,4,2022-04-20 09:10:28,fr
UIB Mobile,Très rapide,Positive,5,2022-04-15 15:45:58,fr
UIB Mobile,Très bonne application et c'est très utile.,Positive,5,2022-03-31 14:59:16,fr
UIB Mobile,"Intuitive, fluide et esthétique !",Positive,5,2022-03-27 08:07:02,fr
UIB Mobile,"Pratique mais il manque 2 choses : 1.faire un virement à un compte tiers, l'UIB peut par ex plafonner le montant. 2.La demande de chéquier effectuée n'est pas prise en compte. A part les services de suivi du compte, en cas de perte de la CB il y a la possibilité de faire opposition pendant 24h. Une application que je conseille.",Positive,4,2022-03-26 19:07:03,fr
UIB Mobile,Parfaite,Positive,5,2022-03-10 07:02:57,fr
UIB Mobile,Excellent,Positive,5,2022-03-09 10:55:02,fr
UIB Mobile,Bonne application qui mérite félicitations,Positive,5,2022-03-07 12:05:43,fr
UIB Mobile,Utile et efficace,Positive,5,2022-03-07 12:01:55,fr
UIB Mobile,Très bonne application. Très utile,Positive,5,2022-03-07 12:01:52,fr
UIB Mobile,"Comment résoudre ce type d'erreur,étant donné que j'ai désintallé l'application, vider le cache...Erreur 4305",Negative,1,2022-03-05 08:30:27,fr
UIB Mobile,Excellente application,Positive,5,2022-03-04 20:28:21,fr
UIB Mobile,Very good,Positive,5,2022-03-04 18:21:56,fr
UIB Mobile,Amazing !!!!!,Positive,5,2022-03-04 08:07:34,fr
UIB Mobile,Application très utile et rapide 👍👍👍,Positive,5,2022-03-03 21:33:52,fr
UIB Mobile,A great and useful mobile application with no doubt!,Positive,5,2022-03-03 19:32:05,en
UIB Mobile,Hyper satisfaite,Positive,5,2022-03-03 19:15:21,fr
UIB Mobile,Toooop,Positive,5,2022-03-03 17:24:39,fr
UIB Mobile,Une application sécurisée très pratique,Positive,5,2022-03-03 16:21:43,fr
UIB Mobile,"Un suivi courant et instantané , Plusieurs solutions innovantes permettant de gagner de temps et de l'argent(virements,position crédit situations cartes éditions ) je donne 5 étoiles sans hésitation",Positive,5,2022-03-03 12:21:52,fr
UIB Mobile,Excellente application qui fonctionne en mode on-line et permet aussi de faire tous les virements que j'ai besoin,Positive,5,2022-03-03 12:11:34,fr
UIB Mobile,Application très utile,Positive,5,2022-03-03 10:21:24,fr
UIB Mobile,Excellente application,Positive,5,2022-03-03 08:54:19,fr
UIB Mobile,excellente,Positive,5,2022-03-03 07:25:36,fr
UIB Mobile,"أقسم بالله لا ريت أخيب منها uib, القصان على حساب ستة ، كل شهر يقصو ما غير حساب ،الكارت يقصو علاها 15د بخلاف منهنا و من غادي ،application زبالة ،خدماتكم زبالة،ماللخر ،ا تربحكم. تحبو نحطلكم 5 نجوم ،نحطلكم كعلوص على روصكم.",Negative,1,2022-03-02 11:05:44,tnar
UIB Mobile,Très bonne application vraiment c'est très simple rapide et utile.,Positive,5,2022-02-24 12:50:24,fr
UIB Mobile,تفدد الروح وقت الي تستحقها تتبلوكا هم على روسكم,Negative,1,2022-02-21 11:55:32,tnar
UIB Mobile,Une application qui n'est valide pour aucun service est toujours hors service,Negative,1,2022-02-21 11:00:45,fr
UIB Mobile,Application Très lente même la connexion est bonne... il faut l'améliorer....,Negative,3,2022-02-21 10:51:17,fr
UIB Mobile,Les simulateurs de crédits et épargnes ne fonctionnent plus,Neutral,3,2022-02-03 06:15:48,fr
UIB Mobile,خدمات رديئة,Negative,1,2022-02-02 18:15:52,ar
UIB Mobile,"Aucune étoile, application nulle toujours non valide, perte d'argent, par rapport à celles d'autres banque, j'en ai marre de vos services nuls.",Negative,1,2022-02-01 09:16:22,fr
UIB Mobile,Ne repond pas toujour,Negative,1,2022-01-31 09:26:47,fr
UIB Mobile,Bien,Positive,5,2022-01-28 14:54:15,fr
UIB Mobile,C'est bon et nécessaire,Positive,4,2022-01-22 15:20:23,fr
UIB Mobile,Mauvaise application ne fonctionne pas,Negative,1,2022-01-21 13:12:18,fr
UIB Mobile,4heurs j'arrive pas à l'ouvrir c'est très nul ne télécharger pas,Negative,1,2022-01-21 12:08:04,fr
UIB Mobile,عن تجربة بنك لا أنصح به,Negative,1,2022-01-14 20:02:39,ar
UIB Mobile,A voir toutes les réactions je me sens moins seule,Negative,1,2022-01-10 14:19:27,fr
UIB Mobile,Superbe,Positive,5,2022-01-04 17:27:35,fr
UIB Mobile,Top,Positive,5,2021-12-31 11:01:47,fr
UIB Mobile,تكمن أهمية هذا التطبيق في إعلامي أنيا بأي تغيير في الحساب الجاري .شكرا,Positive,5,2021-12-28 13:48:49,ar
UIB Mobile,Parfois ne fonctionne pas,Negative,2,2021-12-27 12:22:27,fr
UIB Mobile,السرقة الموصوفة: في وصف التطبيقة تذكرون ان كل العمليات و الاشتراك بهاته التطبيقة مجاني حسب ماهو مذكور و حسب فهمي و في الواقع تمتهنون التحيل و السرقة 10 دينارات معلوم اشتراك سنوي معلوم اضافي جديد على كل تحميل لكشف الرصيد يتراوح بين دينار واحد و دينار و تسعمائة مليم على العموم سوف اسعى جاهدا لاسترجاع ما نهب مني بغير حق و الالتجاء للقضاء و البنك المركزي و يكفي ما امتصت دمائنا,Negative,1,2021-12-25 23:44:25,ar
UIB Mobile,Application dima ma9soussa,Negative,1,2021-12-23 14:28:51,tnfr
UIB Mobile,Nulle...,Negative,1,2021-12-22 14:15:32,fr
UIB Mobile,زبالة والله,Negative,1,2021-12-22 13:38:43,ar
UIB Mobile,application zéro,Negative,1,2021-12-22 13:37:25,fr
UIB Mobile,دائما الريزو طايح,Negative,2,2021-12-21 11:59:54,tnar
UIB Mobile,Aplication uib ne télécharge pas,Positive,5,2021-12-20 11:07:47,fr
UIB Mobile,Je n'arrive pas a ouvrire l'application,Negative,1,2021-12-20 08:56:51,fr
UIB Mobile,hhhh application nuùuuuul,Negative,1,2021-12-19 21:00:37,fr
UIB Mobile,Bien,Positive,4,2021-12-19 18:01:54,fr
UIB Mobile,Mauvaise expérience,Negative,1,2021-12-19 15:54:19,fr
UIB Mobile,Je n'arrive pas à me connecter!!,Negative,2,2021-12-19 10:11:44,fr
UIB Mobile,"L'appli marche une fois sur deux. Je n'arrive pas parfois pas à accéder à mon compte et le lendemain ça remarche. Je change du téléphone à la tablette et toujours rien. Parfois aussi quand j'accède à mon compte je change de fenêtre ça charge ... et puis ça se déconnecte tout seul. Autre chose, je ne reçois jamais de notification de l'appli pourtant j'ai confirmé la réception des notifs. Bref y a de l'effort à faire chère équipe UIB afin d'avoir une appli stable et fonctionnelle en tout temps.",Negative,2,2021-12-19 04:17:10,fr
UIB Mobile,Excellent,Positive,5,2021-12-18 10:50:09,fr
UIB Mobile,Simulateur de crédit ne fonctionne pas sur l'application,Negative,1,2021-12-02 15:11:07,fr
UIB Mobile,top,Positive,5,2021-12-02 14:04:42,fr
UIB Mobile,Application zéro kol ma ysir Vermont fil conte ma tit7alich ye5i ana chna3mil beha kif hiya hakka,Negative,1,2021-11-22 10:50:33,tnfr
UIB Mobile,je ne peux pas acceder amon compte apliquation génante et lourd,Negative,1,2021-11-22 10:26:15,fr
UIB Mobile,Satisfait,Positive,5,2021-11-09 18:39:14,fr
UIB Mobile,المواطن البسيط ما ينجمش يحل حساب هو مجعول لرجال الأعمال والتجار الكبار فقط,Negative,2,2021-11-05 16:21:08,tnar
UIB Mobile,ممتاز,Positive,5,2021-10-29 12:47:02,ar
UIB Mobile,مرزن ملايكتكم اوووووووه ب 6 ولا 7 مرات باش تتحل هل خرية نحوها خير سراق,Negative,1,2021-10-29 11:19:48,tnar
UIB Mobile,des voleurs,Negative,1,2021-10-20 11:12:47,fr
UIB Mobile,Application Rzina barcha kif ta3mel mise à jour tdhaya3lek identifiant w wa9t tetsab chahriya mat7ebech tet7al,Negative,1,2021-10-20 09:59:15,tnfr
UIB Mobile,Bien,Positive,5,2021-10-08 09:40:26,fr
UIB Mobile,L' aiguille qui indique votre solde par rapport au minimum et au maximum en vert ne fonctionne plus après la mise à jour🤔,Positive,5,2021-09-26 06:22:03,fr
UIB Mobile,Impossible de me connecter,Negative,1,2021-09-25 16:24:11,fr
UIB Mobile,Zero,Negative,1,2021-09-20 10:23:52,fr
UIB Mobile,Aucune ergonomie ni user experience,Negative,1,2021-09-17 08:15:49,fr
UIB Mobile,Cette application est une horreur. Ça me décourage pour me connecter. Comment pouvez vous garder une application qui fonctionne aussi mal.sans aucune explication des codes et des messages d'erreur tout le temps. Des changements de mots de passe tout le temps. Des maj qui bloque pas mal de personne . Pourquoi la société générale à particulier société générale parfait et une horreur pour la filiale tunisienne,Negative,1,2021-09-11 20:33:49,fr
UIB Mobile,Je n'arrive pas à effectuer des opérations d'épargne depuis que j'ai changé mon téléphone et que j'ai réinstallé l application,Negative,2,2021-09-10 09:38:36,fr
UIB Mobile,Colme d habitude application 3al 7it,Negative,1,2021-09-08 07:23:39,fr
UIB Mobile,Depuis la dernière mise à jour je n'arrive plus à effectuer de virements permanents,Negative,1,2021-09-05 17:14:33,fr
UIB Mobile,Perfect,Positive,5,2021-08-27 18:09:06,en
UIB Mobile,شكرا,Positive,5,2021-08-14 14:36:19,ar
UIB Mobile,L'application UIB mobile ne fonctionne plus suite au changement de mon appareil mobile. J'ai contacté l'agence à plusieurs reprise mais ils n'ont trouvé aucune solution 😑,Negative,1,2021-08-13 10:19:12,fr
UIB Mobile,Excellente,Positive,3,2021-08-09 18:04:10,fr
UIB Mobile,6 tentatives de mise à jour et rien. Pas de mise à jour et pas d'accès à l' application,Negative,1,2021-08-07 11:21:55,fr
UIB Mobile,La dernière mise à jour a éliminé la fonctionualité ‹mon budget›,Negative,1,2021-08-04 10:29:32,fr
UIB Mobile,Aucune version de l'application uib mobile n'est fonctionnelle sur mon portable samsung galaxy. Y'a -t- il une solution svp ?,Negative,1,2021-08-02 21:28:37,fr
UIB Mobile,Erreur com.100 toujours cette application 0 point,Negative,1,2021-08-02 13:56:48,fr
UIB Mobile,J'arrive à accéder à mon compte 1 fois sur 10. On paye un service qui ne marche pas. C'est de l'escroquerie pure.,Negative,1,2021-08-02 10:35:55,fr
UIB Mobile,Cette application n'est plus pratique. Je n'arrive plus à effectuer des virements et je suis obligé de me déplacer en agence pour faire ces virements. S'il y a moins d'une étoile je le mettrai sans doute.,Negative,1,2021-07-31 12:58:07,fr
UIB Mobile,Very bad,Negative,1,2021-07-30 23:15:32,fr
UIB Mobile,L'application manque beaucoup d'options par exemple lorsque vous effectuez un virement simple vous ne pouvez pas l'annuler et aussi sur un mois sa bug de 15 a 20 jours il faut améliorer votre service,Negative,2,2021-07-30 20:03:20,fr
UIB Mobile,"Excellent, pratique",Positive,5,2021-07-30 19:50:48,fr
UIB Mobile,Une très mauvaise application. Elle ne fonctionne que 2 à 3 fois par mois. Je ne peux donc que dire c'est la catastrophe de ma banque et je vais changer à une banque,Negative,1,2021-07-30 17:33:11,fr
UIB Mobile,"Après le dernier mise à jour, l'application ne se connecte pas bien et aussi il y a qq blocage si l'application connecte.",Negative,3,2021-07-30 16:49:56,fr
UIB Mobile,Toujours. Prb bug vraiment déchu,Negative,1,2021-07-30 15:58:26,fr
UIB Mobile,L application ne travail pas durant une semaine et ça était apres la mise à jour Je la désinstallé puis l installer de nouveau et mm ne travail pas,Negative,1,2021-07-30 12:40:08,fr
UIB Mobile,Lezim nfasa5 l app w n3awed nsobha beha najim nchouf l compte mte3ii... Hehi rana fi 2121,Negative,1,2021-07-30 10:29:53,tnfr
UIB Mobile,بصراحة ماساة هالابليكاسيون من نهار اللي عملتوا فيها تحيين هلكتوها واحد معادش منجم يدخل لحسابه معاناة,Negative,1,2021-07-30 07:26:12,tnar
